FullName;BirthDate;IsMale
Florence Brown;17-11-1981;1
Francis Lowe;04-01-1984;1
Floyd McCoy;28-08-1984;1
Frederick Howell;13-08-2001;1
Francis Stanley;21-05-1987;1
Francis Daniel;09-07-2004;1
Frederick Grant;22-02-1962;1
Fadey Webster;22-06-1993;1
Frank Schultz;10-09-1973;1
Frederick Graham;18-04-1993;1
Farid Carpenter;08-05-2003;1
Fred Collins;21-09-1988;1
Frank Klein;05-02-1980;1
Frances Parsons;30-12-1999;1
Frances Lyons;18-07-2001;1
Fred Vargas;10-03-1967;1
Francisco Bridges;17-03-1980;1
Florence Joseph;29-01-1961;1
Floyd Tran;02-10-1994;1
Frederick Padilla;19-10-1970;1
Fadey Berry;06-12-1998;1
Francisco Bryan;20-10-1986;1
Fadey Byrd;03-03-1959;1
Frances Cox;01-10-1968;1
Frances Garcia;30-11-1965;1
Fedor Weber;02-06-1997;1
Floyd Barrett;12-12-1976;1
Frederick Knight;26-01-1995;1
Franklin Morris;07-03-1995;1
Francisco Boone;26-04-1992;1
Frances Gill;02-03-1982;1
Fadey Hall;01-10-1976;1
Fred Ingram;27-11-1974;1
Fadey Webb;15-07-1964;1
Frank Santos;20-03-1960;1
Farid Hampton;08-04-1964;1
Francis Curry;27-01-1968;1
Francis Watkins;27-08-1983;1
Franklin Chavez;22-07-2005;1
Franklin Doyle;16-04-1975;1
Farid White;09-04-1994;1
Fadey Wilkerson;08-11-1999;1
Frances Swanson;02-09-1961;1
Farid Moreno;01-02-1989;1
Florence Lynch;22-05-1981;1
Fadey Sims;25-08-1992;1
Frederick Zimmerman;30-01-2005;1
Francis George;11-02-2000;1
Francis Cook;23-09-1974;1
Floyd Green;19-09-1992;1
Fred Terry;05-11-1960;1
Frank Osborne;23-06-1967;1
Floyd Houston;07-07-1980;1
Francisco Goodman;23-08-1966;1
Florence Sanders;13-09-1989;1
Fred Meyer;13-11-1976;1
Frederick Simpson;01-11-1996;1
Floyd Wise;02-11-1987;1
Fadey Wilkins;14-08-1967;1
Francis Tate;16-04-1987;1
Floyd Stevenson;20-02-1994;1
Francis Moreno;11-11-1963;1
Francisco May;23-04-2002;1
Francis Green;24-12-1995;1
Fedor Ray;07-06-1983;1
Franklin Holland;16-10-2003;1
Francisco Harper;16-05-1962;1
Frederick Roberson;17-12-2003;1
Farid Berry;28-01-1989;1
Fadey Carter;02-09-1967;1
Francis Cain;22-01-1996;1
Franklin Bailey;25-10-1977;1
Francisco Kelly;26-04-1981;1
Frances Horton;23-10-1976;1
Francis Garrett;16-03-1998;1
Frances Henry;18-10-1995;1
Francisco Holland;25-05-2006;1
Frank Maldonado;26-10-1970;1
Frances Taylor;16-05-2001;1
Farid Wallace;24-04-1970;1
Fedor Castro;10-04-1980;1
Frances Mendoza;10-10-1975;1
Frederick Soto;06-11-1979;1
Fadey Reyes;12-10-1991;1
Fedor Hernandez;12-05-1967;1
Frances Martin;01-06-1974;1
Fedor Lyons;20-02-1994;1
Francisco Ford;07-12-1960;1
Frances Foster;04-03-1982;1
Floyd Carson;16-10-2004;1
Frank Vargas;09-09-1992;1
Fred Sanchez;09-04-1962;1
Frances Manning;13-09-1986;1
Frances Lawson;21-01-1976;1
Francisco Huff;21-12-1971;1
Frank Lynch;13-01-1992;1
Fred Kim;24-07-1986;1
Florence Cox;24-03-1995;1
Francis Cunningham;12-09-1998;1
Farid Benson;21-09-2001;1
